cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
1,1,4,4,4,4,72000000
2,1,5,5,5,5,72000000
3,1,4,4,4,4,72000000
4,1,4,4,4,4,72000000
5,1,2,2,2,2,72000000
6,1,5,5,5,5,72000000
7,1,8,8,8,8,72000000
8,1,2,2,2,2,72000000
9,1,4,4,4,4,72000000
10,1,5,5,5,5,72000000
11,1,2,2,2,2,72000000
12,1,1,1,1,1,72000000
13,1,4,4,4,4,72000000
14,1,4,4,4,4,72000000
15,1,3,3,3,3,72000000
16,1,0,0,0,0,72000000
17,1,4,4,4,4,72000000
18,1,5,5,5,5,72000000
19,1,4,4,4,4,72000000
20,1,1,1,1,1,72000000
21,1,3,3,3,3,72000000
22,1,0,0,0,0,72000000
23,1,1,1,1,1,72000000
24,1,2,2,2,2,72000000
25,1,5,5,5,5,72000000
26,1,5,5,5,5,72000000
27,1,3,3,3,3,72000000

width_rows
cycle,index,width_ticks,width_ns
1,0,196,2722.0
1,1,186,2583.0
1,2,194,2694.0
1,3,195,2708.0
2,0,194,2694.0
2,1,153,2125.0
2,2,180,2500.0
2,3,213,2958.0
2,4,185,2569.0
3,0,150,2083.0
3,1,175,2430.0
3,2,198,2750.0
3,3,155,2152.0
4,0,166,2305.0
4,1,181,2513.0
4,2,196,2722.0
4,3,201,2791.0
5,0,170,2361.0
5,1,161,2236.0
6,0,202,2805.0
6,1,185,2569.0
6,2,184,2555.0
6,3,182,2527.0
6,4,172,2388.0
7,0,165,2291.0
7,1,186,2583.0
7,2,184,2555.0
7,3,184,2555.0
7,4,171,2375.0
7,5,185,2569.0
7,6,189,2625.0
7,7,180,2500.0
8,0,193,2680.0
8,1,191,2652.0
9,0,195,2708.0
9,1,157,2180.0
9,2,182,2527.0
9,3,195,2708.0
10,0,192,2666.0
10,1,177,2458.0
10,2,181,2513.0
10,3,205,2847.0
10,4,143,1986.0
11,0,175,2430.0
11,1,170,2361.0
12,0,181,2513.0
13,0,191,2652.0
13,1,180,2500.0
13,2,187,2597.0
13,3,186,2583.0
14,0,179,2486.0
14,1,202,2805.0
14,2,201,2791.0
14,3,185,2569.0
15,0,183,2541.0
15,1,178,2472.0
15,2,173,2402.0
17,0,171,2375.0
17,1,194,2694.0
17,2,200,2777.0
17,3,183,2541.0
18,0,201,2791.0
18,1,184,2555.0
18,2,184,2555.0
18,3,188,2611.0
18,4,161,2236.0
19,0,186,2583.0
19,1,187,2597.0
19,2,188,2611.0
19,3,179,2486.0
20,0,157,2180.0
21,0,197,2736.0
21,1,182,2527.0
21,2,148,2055.0
23,0,165,2291.0
24,0,183,2541.0
24,1,200,2777.0
25,0,188,2611.0
25,1,188,2611.0
25,2,159,2208.0
25,3,185,2569.0
25,4,174,2416.0
26,0,174,2416.0
26,1,186,2583.0
26,2,183,2541.0
26,3,175,2430.0
26,4,208,2888.0
27,0,184,2555.0
27,1,177,2458.0
27,2,177,2458.0
