cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
1,1,22,22,22,22,
2,1,18,18,18,18,
3,1,21,21,21,21,
4,1,21,21,21,21,
5,1,17,17,17,17,
6,1,17,17,17,17,
7,1,20,20,20,20,
8,1,24,24,24,24,
9,1,21,21,21,21,
10,1,24,24,24,24,
11,1,27,27,27,27,
12,1,19,19,19,19,
13,1,21,21,21,21,
14,1,25,25,25,25,
15,1,23,23,23,23,
16,1,20,20,20,20,
17,1,26,26,26,26,
18,1,24,24,24,24,
19,1,19,19,19,19,
20,1,26,26,26,26,
21,1,15,15,15,15,
22,1,22,22,22,22,
23,1,12,12,12,12,
24,1,22,22,22,22,
25,1,21,21,21,21,
26,1,14,14,14,14,
27,1,13,13,13,13,
28,1,20,20,20,20,
29,1,22,22,22,22,
30,1,22,22,22,22,
31,1,10,10,10,10,
32,1,21,21,21,21,
33,1,25,25,25,25,
34,1,21,21,21,21,
35,1,25,25,25,25,
36,1,18,18,18,18,
37,1,25,25,25,25,
38,1,18,18,18,18,
39,1,20,20,20,20,
40,1,17,17,17,17,
41,1,23,23,23,23,
42,1,18,18,18,18,
43,1,19,19,19,19,
44,1,18,18,18,18,
45,1,17,17,17,17,
46,1,27,27,27,27,
47,1,16,16,16,16,
48,1,22,22,22,22,
49,1,18,18,18,18,
50,1,24,24,24,24,
51,1,18,18,18,18,
52,1,20,20,20,20,
53,1,12,12,12,12,
54,1,15,15,15,15,
55,1,21,21,21,21,
56,1,23,23,23,23,
57,1,15,15,15,15,
58,1,26,26,26,26,
59,1,18,18,18,18,
60,1,23,23,23,23,
61,1,20,20,20,20,
62,1,24,24,24,24,
63,1,15,15,15,15,
64,1,21,21,21,21,
65,1,20,20,20,20,
66,1,19,19,19,19,
67,1,26,26,26,26,
68,1,21,21,21,21,
69,1,21,21,21,21,
70,1,16,16,16,16,
71,1,20,20,20,20,
72,1,15,15,15,15,
73,1,11,11,11,11,
74,1,22,22,22,22,
75,1,25,25,25,25,
76,1,11,11,11,11,
77,1,25,25,25,25,
78,1,22,22,22,22,
79,1,25,25,25,25,
80,1,17,17,17,17,
81,1,27,27,27,27,
82,1,19,19,19,19,
83,1,26,26,26,26,
84,1,33,33,33,33,
85,1,11,11,11,11,
86,1,21,21,21,21,
87,1,19,19,19,19,
88,1,16,16,16,16,
89,1,18,18,18,18,
90,1,22,22,22,22,
91,1,29,29,29,29,
92,1,27,27,27,27,
93,1,19,19,19,19,
94,1,17,17,17,17,
95,1,10,10,10,10,
96,1,11,11,11,11,
97,1,9,9,9,9,
98,1,6,6,6,6,
99,1,16,16,16,16,
100,1,16,16,16,16,
101,1,11,11,11,11,
102,1,19,19,19,19,
103,1,6,6,6,6,
104,1,14,14,14,14,
105,1,12,12,12,12,
106,1,11,11,11,11,
107,1,9,9,9,9,
108,1,0,0,0,0,
109,1,2,2,2,2,
110,1,1,1,1,1,
111,1,2,2,2,2,
112,1,0,0,0,0,
113,1,3,3,3,3,
114,1,1,1,1,1,
115,1,0,0,0,0,
116,1,0,0,0,0,
117,1,0,0,0,0,
118,1,2,2,2,2,
119,1,1,1,1,1,
120,1,1,1,1,1,
121,1,0,0,0,0,
122,1,0,0,0,0,
123,1,1,1,1,1,
124,1,0,0,0,0,
125,1,1,1,1,1,
126,1,0,0,0,0,
127,1,3,3,3,3,
128,1,0,0,0,0,
129,1,1,1,1,1,
130,1,3,3,3,3,
131,1,2,2,2,2,
132,1,0,0,0,0,
133,1,0,0,0,0,
134,1,1,1,1,1,
135,1,1,1,1,1,
136,1,1,1,1,1,
137,1,0,0,0,0,
138,1,1,1,1,1,
139,1,1,1,1,1,
140,1,0,0,0,0,
141,1,0,0,0,0,
142,1,2,2,2,2,
143,1,1,1,1,1,
144,1,0,0,0,0,
145,1,2,2,2,2,
146,1,1,1,1,1,
147,1,2,2,2,2,
148,1,2,2,2,2,
149,1,1,1,1,1,
150,1,0,0,0,0,
151,1,2,2,2,2,
152,1,1,1,1,1,
153,1,1,1,1,1,
154,1,2,2,2,2,
155,1,2,2,2,2,
156,1,1,1,1,1,
157,1,0,0,0,0,
158,1,3,3,3,3,
159,1,0,0,0,0,
160,1,4,4,4,4,
161,1,1,1,1,1,
162,1,0,0,0,0,
163,1,0,0,0,0,
164,1,2,2,2,2,
165,1,0,0,0,0,
166,1,0,0,0,0,
167,1,3,3,3,3,
168,1,0,0,0,0,
169,1,0,0,0,0,
170,1,3,3,3,3,
171,1,1,1,1,1,
172,1,1,1,1,1,
173,1,1,1,1,1,
174,1,1,1,1,1,
175,1,0,0,0,0,
176,1,0,0,0,0,
177,1,1,1,1,1,
178,1,0,0,0,0,
179,1,2,2,2,2,
180,1,0,0,0,0,
181,1,0,0,0,0,
182,1,1,1,1,1,
183,1,1,1,1,1,
184,1,0,0,0,0,
185,1,1,1,1,1,
186,1,1,1,1,1,
187,1,0,0,0,0,
188,1,0,0,0,0,
189,1,3,3,3,3,
190,1,0,0,0,0,
191,1,3,3,3,3,
192,1,1,1,1,1,
193,1,0,0,0,0,
194,1,1,1,1,1,
195,1,1,1,1,1,
196,1,1,1,1,1,
197,1,0,0,0,0,
