cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
1,1,99,99,99,99,72000000
2,1,115,115,115,115,72000000
3,1,102,102,102,102,72000000
4,1,116,116,116,116,72000000
5,1,104,104,104,104,72000000
6,1,115,115,115,115,72000000
7,1,122,122,122,122,72000000
8,1,117,117,117,117,72000000
9,1,121,121,121,121,72000000
10,1,121,121,121,121,72000000
11,1,115,115,115,115,72000000
12,1,103,103,103,103,72000000
13,1,123,123,123,123,72000000
14,1,106,106,106,106,72000000
15,1,108,108,108,108,72000000
16,1,117,117,117,117,72000000
17,1,113,113,113,113,72000000
18,1,140,140,140,140,72000000
19,1,128,128,128,128,72000000
20,1,119,119,119,119,72000000
21,1,116,116,116,116,72000000
22,1,121,121,121,121,72000000
23,1,133,133,133,133,72000000
24,1,119,119,119,119,72000000
25,1,127,127,127,127,72000000
26,1,123,123,123,123,72000000
27,1,118,118,118,118,72000000
28,1,106,106,106,106,72000000
29,1,131,131,131,131,72000000
30,1,113,113,113,113,72000000
31,1,137,137,137,137,72000000
32,1,114,114,114,114,72000000
33,1,117,117,117,117,72000000
34,1,105,105,105,105,72000000
35,1,123,123,123,123,72000000
36,1,136,136,136,136,72000000
37,1,109,109,109,109,72000000
38,1,136,136,136,136,72000000
39,1,130,130,130,130,72000000
40,1,119,119,119,119,72000000
41,1,135,135,135,135,72000000
42,1,123,123,123,123,72000000
43,1,112,112,112,112,72000000
44,1,119,119,119,119,72000000
45,1,130,130,130,130,72000000
46,1,140,140,140,140,72000000
47,1,119,119,119,119,72000000
48,1,116,115,115,115,72000000
49,1,114,114,114,114,72000000
50,1,118,118,118,118,72000000
51,1,134,134,134,134,72000000
52,1,114,114,114,114,72000000
53,1,135,135,135,135,72000000
54,1,119,119,119,119,72000000
55,1,136,136,136,136,72000000
56,1,137,137,137,137,72000000
57,1,112,112,112,112,72000000
58,1,118,118,118,118,72000000
59,1,122,121,121,121,72000000
60,1,117,117,117,117,72000000
61,1,126,126,126,126,72000000
62,1,137,137,137,137,72000000
63,1,111,111,111,111,72000000
