tick,count
10,3
11,1
12,1
13,4
14,1
15,0
16,3
17,2
18,0
19,2
20,0
21,1
22,2
23,0
24,1
25,0
26,0
27,0
28,1
29,2
30,1
31,3
32,3
33,1
34,1
35,3
36,4
37,0
38,4
39,4
40,2
41,3
42,1
43,3
44,3
45,7
46,10
47,10
48,9
49,10
50,11
51,9
52,6
53,15
54,13
55,13
56,11
57,11
58,19
59,17
60,14
61,16
62,18
63,26
64,22
65,33
66,36
67,35
68,31
69,42
70,38
71,45
72,64
73,71
74,78
75,105
76,95
77,114
78,136
79,150
80,142
81,162
82,203
83,188
84,230
85,252
86,261
87,314
88,316
89,346
90,371
91,390
92,418
93,406
94,437
95,498
96,498
97,543
98,520
99,564
100,557
101,557
102,593
103,625
104,616
105,648
106,677
107,631
108,673
109,654
110,628
111,625
112,647
113,628
114,656
115,591
116,610
117,570
118,516
119,477
120,493
121,457
122,439
123,415
124,454
125,365
126,352
127,322
128,329
129,297
130,232
131,251
132,228
133,180
134,205
135,178
136,160
137,141
138,141
139,139
140,107
141,110
142,90
143,83
144,77
145,69
146,67
147,53
148,44
149,48
150,53
151,29
152,34
153,29
154,28
155,20
156,22
157,20
158,15
159,12
160,16
161,7
162,15
163,10
164,5
165,7
166,6
167,5
168,5
169,4
170,4
171,6
172,2
173,6
174,2
175,8
176,4
177,1
178,5
179,1
180,0
181,4
182,1
183,2
184,2
185,1
186,0
187,2
188,2
189,1
190,0
191,3
192,1
193,2
194,0
195,1
196,0
197,2
198,1
199,3
200,0
201,1
202,2
203,0
204,2
205,0
206,0
207,0
208,2
209,1
210,0
211,0
212,0
213,0
214,1
215,0
216,1
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,1
