cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
1,1,0,0,0,0,72000000
2,1,1,1,1,1,72000000
3,1,2,2,2,2,72000000
4,1,4,4,4,4,72000000
5,1,1,1,1,1,72000000
6,1,3,3,3,3,72000000
7,1,1,1,1,1,72000000
8,1,0,0,0,0,72000000
9,1,2,2,2,2,72000000
10,1,4,4,4,4,72000000
11,1,1,1,1,1,72000000
12,1,3,3,3,3,72000000
13,1,0,0,0,0,72000000

width_rows
cycle,index,width_ticks,width_ns
2,0,176,2444.0
3,0,160,2222.0
3,1,196,2722.0
4,0,175,2430.0
4,1,177,2458.0
4,2,179,2486.0
4,3,180,2500.0
5,0,191,2652.0
6,0,181,2513.0
6,1,192,2666.0
6,2,199,2763.0
7,0,204,2833.0
9,0,193,2680.0
9,1,177,2458.0
10,0,161,2236.0
10,1,190,2638.0
10,2,202,2805.0
10,3,191,2652.0
11,0,190,2638.0
12,0,201,2791.0
12,1,161,2236.0
12,2,183,2541.0
