tick,count
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,2
106,0
107,1
108,0
109,2
110,1
111,3
112,2
113,3
114,5
115,2
116,2
117,3
118,1
119,4
120,8
121,3
122,2
123,6
124,3
125,9
126,6
127,13
128,7
129,9
130,8
131,8
132,9
133,15
134,10
135,9
136,12
137,11
138,17
139,12
140,13
141,19
142,24
143,22
144,20
145,23
146,19
147,18
148,31
149,19
150,28
151,20
152,30
153,38
154,31
155,35
156,28
157,46
158,42
159,45
160,48
161,51
162,54
163,62
164,77
165,79
166,66
167,98
168,88
169,91
170,99
171,106
172,107
173,144
174,132
175,143
176,137
177,155
178,164
179,186
180,194
181,230
182,206
183,223
184,239
185,267
186,285
187,284
188,324
189,325
190,337
191,419
192,478
193,510
194,585
195,646
196,687
197,709
198,862
199,838
200,853
201,816
202,805
203,823
204,678
205,621
206,527
207,417
208,382
209,292
210,240
211,193
212,143
213,116
214,91
215,83
216,46
217,42
218,18
219,19
220,17
221,17
222,9
223,12
224,9
225,4
226,2
227,5
228,0
229,3
230,1
231,4
232,0
233,2
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,1
