cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
1,1,20,20,20,20,72000000
2,1,17,17,17,17,72000000
3,1,18,18,18,18,72000000
4,1,28,28,28,28,72000000
5,1,16,16,16,16,72000000
6,1,23,23,23,23,72000000
7,1,25,25,25,25,72000000
8,1,22,22,22,22,72000000
9,1,17,17,17,17,72000000
10,1,24,24,24,24,72000000
11,1,17,17,17,17,72000000
12,1,26,26,26,26,72000000
13,1,15,15,15,15,72000000
14,1,14,14,14,14,72000000
15,1,14,14,14,14,72000000
16,1,16,16,16,16,72000000
17,1,20,20,20,20,72000000
18,1,18,18,18,18,72000000
19,1,26,26,26,26,72000000
20,1,22,22,22,22,72000000
21,1,16,16,16,16,72000000
22,1,18,18,18,18,72000000
23,1,24,24,24,24,72000000
24,1,18,18,18,18,72000000
25,1,19,19,19,19,72000000
26,1,25,25,25,25,72000000
27,1,15,15,15,15,72000000
28,1,14,14,14,14,72000000
29,1,20,20,20,20,72000000
30,1,26,26,26,26,72000000
31,1,18,18,18,18,72000000
32,1,28,28,28,28,72000000
33,1,17,17,17,17,72000000
34,1,20,20,20,20,72000000
35,1,24,24,24,24,72000000
36,1,16,16,16,16,72000000
37,1,9,9,9,9,72000000
38,1,23,23,23,23,72000000
39,1,22,22,22,22,72000000
40,1,24,24,24,24,72000000
41,1,17,17,17,17,72000000
42,1,16,16,16,16,72000000
43,1,19,19,19,19,72000000
44,1,27,27,27,27,72000000
45,1,16,16,16,16,72000000
46,1,26,26,26,26,72000000
47,1,16,16,16,16,72000000
48,1,13,13,13,13,72000000
49,1,14,14,14,14,72000000
50,1,17,17,17,17,72000000
51,1,17,17,17,17,72000000
52,1,11,11,11,11,72000000
53,1,21,21,21,21,72000000
54,1,13,13,13,13,72000000
55,1,21,21,21,21,72000000
56,1,20,20,20,20,72000000
57,1,17,17,17,17,72000000
58,1,17,17,17,17,72000000
59,1,13,13,13,13,72000000
60,1,21,21,21,21,72000000
61,1,16,16,16,16,72000000
62,1,19,19,19,19,72000000
63,1,29,29,29,29,72000000
64,1,17,17,17,17,72000000
65,1,13,13,13,13,72000000
66,1,22,22,22,22,72000000
67,1,17,17,17,17,72000000
68,1,16,16,16,16,72000000
69,1,23,23,23,23,72000000
70,1,19,19,19,19,72000000
71,1,13,13,13,13,72000000
72,1,22,22,22,22,72000000
73,1,22,22,22,22,72000000
74,1,18,18,18,18,72000000
75,1,18,18,18,18,72000000
76,1,25,25,25,25,72000000
77,1,27,27,27,27,72000000
78,1,21,21,21,21,72000000
79,1,17,17,17,17,72000000
80,1,21,21,21,21,72000000
81,1,24,24,24,24,72000000
82,1,16,16,16,16,72000000
83,1,14,14,14,14,72000000
84,1,21,21,21,21,72000000
85,1,17,17,17,17,72000000
86,1,15,15,15,15,72000000
87,1,25,25,25,25,72000000
88,1,16,16,16,16,72000000
89,1,18,18,18,18,72000000
90,1,25,25,25,25,72000000
91,1,26,26,26,26,72000000
92,1,20,20,20,20,72000000
93,1,25,25,25,25,72000000
94,1,27,27,27,27,72000000
95,1,27,27,27,27,72000000
96,1,10,10,10,10,72000000
97,1,22,22,22,22,72000000
98,1,18,18,18,18,72000000
99,1,17,17,17,17,72000000
100,1,27,27,27,27,72000000
101,1,19,19,19,19,72000000
102,1,21,21,21,21,72000000
103,1,19,19,19,19,72000000
104,1,20,20,20,20,72000000
105,1,18,18,18,18,72000000
106,1,17,17,17,17,72000000
107,1,19,19,19,19,72000000
108,1,22,22,22,22,72000000
109,1,17,17,17,17,72000000
110,1,17,17,17,17,72000000
111,1,12,12,12,12,72000000
112,1,24,24,24,24,72000000
113,1,16,16,16,16,72000000
