tick,count
95,1
96,0
97,0
98,0
99,0
100,0
101,2
102,0
103,2
104,0
105,0
106,0
107,0
108,4
109,1
110,1
111,2
112,5
113,6
114,2
115,3
116,3
117,4
118,5
119,2
120,6
121,5
122,8
123,12
124,10
125,13
126,14
127,18
128,16
129,13
130,27
131,18
132,25
133,29
134,24
135,23
136,25
137,40
138,42
139,22
140,30
141,30
142,36
143,33
144,39
145,28
146,35
147,39
148,43
149,31
150,35
151,31
152,29
153,41
154,37
155,41
156,36
157,41
158,31
159,20
160,30
161,22
162,38
163,31
164,35
165,19
166,33
167,23
168,35
169,27
170,25
171,28
172,30
173,38
174,34
175,39
176,30
177,25
178,27
179,30
180,38
181,50
182,36
183,46
184,45
185,50
186,50
187,75
188,64
189,70
190,79
191,92
192,94
193,101
194,95
195,105
196,105
197,116
198,104
199,128
200,138
201,113
202,96
203,91
204,86
205,67
206,63
207,60
208,39
209,42
210,28
211,25
212,23
213,19
214,9
215,5
216,6
217,9
218,6
219,2
220,0
221,1
222,1
223,4
224,2
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
