time_us,voltage_mV
0,0
0.01,7.88690427088
0.02,15.7010495842
0.03,23.445650662
0.04,31.1208953914
0.05,38.7270722825
0.06,46.2645928906
0.07,53.7339063596
0.08,61.135469258
0.09,68.4697377218
0.1,75.7371656511
0.11,82.9382043318
0.12,90.0733023696
0.13,97.1429056884
0.14,104.147457542
0.15,111.087398529
0.16,117.963166608
0.17,124.775197109
0.18,131.523922753
0.19,138.209773664
0.2,144.833177384
0.21,151.394558886
0.22,157.894340593
0.23,164.332942386
0.24,170.710781622
0.25,177.028273151
0.26,183.285829322
0.27,189.483860004
0.28,195.6227726
0.29,201.702972054
0.3,207.724860874
0.31,213.688839138
0.32,219.595304513
0.33,225.444652265
0.34,231.237275274
0.35,236.973564049
0.36,242.653906738
0.37,248.278689145
0.38,253.848294738
0.39,259.363104669
0.4,264.823497782
0.41,270.229850628
0.42,275.582537476
0.43,280.88193033
0.44,286.128398936
0.45,291.322310802
0.46,296.464031202
0.47,301.553923196
0.48,306.59234764
0.49,311.579663196
0.5,316.516226348
0.51,321.402391412
0.52,326.238510552
0.53,331.024933784
0.54,335.762008999
0.55,340.450081966
0.56,345.089496348
0.57,349.680593715
0.58,354.223713552
0.59,358.719193276
0.6,363.167368241
0.61,367.568571758
0.62,371.923135098
0.63,376.23138751
0.64,380.49365623
0.65,384.710266492
0.66,388.881541541
0.67,393.00780264
0.68,397.089369089
0.69,401.126558229
0.7,405.119685456
0.71,409.069064233
0.72,412.975006098
0.73,416.837820677
0.74,420.657815697
0.75,424.435296993
0.76,428.170568518
0.77,431.863932359
0.78,435.515688744
0.79,439.126136052
0.8,442.695570826
0.81,446.22428778
0.82,449.712579814
0.83,453.160738022
0.84,456.569051699
0.85,459.937808357
0.86,463.267293734
0.87,466.557791799
0.88,469.809584769
0.89,473.022953114
0.9,476.19817557
0.91,479.335529147
0.92,482.435289141
0.93,485.49772914
0.94,488.523121039
0.95,491.511735044
0.96,494.463839686
0.97,497.379701831
0.98,500.259586683
0.99,503.103757804
1,505.912477112
1.01,508.6860049
1.02,511.424599839
1.03,514.12851899
1.04,516.798017815
1.05,519.43335018
1.06,522.034768372
1.07,524.602523103
1.08,527.136863519
1.09,529.638037211
1.1,532.106290223
1.11,534.541867063
1.12,536.945010708
1.13,539.315962614
1.14,541.654962727
1.15,543.96224949
1.16,546.238059851
1.17,548.482629273
1.18,550.696191742
1.19,552.878979775
1.2,555.031224429
1.21,557.153155309
1.22,559.245000578
1.23,561.306986964
1.24,563.339339765
1.25,565.342282864
1.26,567.316038733
1.27,569.260828441
1.28,571.176871664
1.29,573.06438669
1.3,574.923590431
1.31,576.754698429
1.32,578.557924862
1.33,580.333482556
1.34,582.081582988
1.35,583.802436299
1.36,585.496251298
1.37,587.163235469
1.38,588.803594984
1.39,590.417534705
1.4,592.005258194
1.41,593.566967719
1.42,595.102864266
1.43,596.613147539
1.44,598.098015974
1.45,599.557666745
1.46,600.992295767
1.47,602.40209771
1.48,603.787266
1.49,605.147992831
1.5,606.484469169
1.51,607.796884761
1.52,609.085428141
1.53,610.350286638
1.54,611.591646382
1.55,612.809692311
1.56,614.00460818
1.57,615.176576565
1.58,616.325778871
1.59,617.45239534
1.6,618.556605056
1.61,619.638585953
1.62,620.698514822
1.63,621.736567314
1.64,622.752917952
1.65,623.747740135
1.66,624.721206145
1.67,625.673487151
1.68,626.60475322
1.69,627.515173321
1.7,628.404915331
1.71,629.274146041
1.72,630.123031165
1.73,630.951735345
1.74,631.760422155
1.75,632.54925411
1.76,633.318392672
1.77,634.067998255
1.78,634.798230231
1.79,635.50924694
1.8,636.201205688
1.81,636.874262762
1.82,637.52857343
1.83,638.164291949
1.84,638.781571571
1.85,639.38056455
1.86,639.961422144
1.87,640.524294626
1.88,641.069331287
1.89,641.59668044
1.9,642.106489429
1.91,642.598904635
1.92,643.074071479
1.93,643.532134427
1.94,643.973237001
1.95,644.397521778
1.96,644.8051304
1.97,645.196203579
1.98,645.570881101
1.99,645.92930183
2,646.271603718
2.01,646.597923807
2.02,646.908398237
2.03,647.203162247
2.04,647.482350184
2.05,647.746095508
2.06,647.994530796
2.07,648.227787748
2.08,648.44599719
2.09,648.649289085
2.1,648.83779253
2.11,649.011635769
2.12,649.170946191
2.13,649.315850342
2.14,649.446473924
2.15,649.562941803
2.16,649.665378014
2.17,649.753905766
2.18,649.828647444
2.19,649.889724619
2.2,649.937258048
2.21,649.971367682
2.22,649.992172669
2.23,649.999791361
2.24,649.994341316
2.25,649.975939304
2.26,649.944701312
2.27,649.900742547
2.28,649.844177445
2.29,649.775119671
2.3,649.693682123
2.31,649.599976942
2.32,649.494115513
2.33,649.376208467
2.34,649.246365693
2.35,649.104696332
2.36,648.951308793
2.37,648.786310748
2.38,648.609809141
2.39,648.421910192
2.4,648.222719399
2.41,648.012341547
2.42,647.790880707
2.43,647.558440244
2.44,647.315122818
2.45,647.061030392
2.46,646.796264234
2.47,646.520924922
2.48,646.235112345
2.49,645.938925713
2.5,645.632463556
2.51,645.315823731
2.52,644.989103424
2.53,644.652399156
