n_total,27107
n_saved_reported,8192
timclk,72000000
etr_count,27109

index,width_ticks,width_ns
0,132,1833
1,119,1652
2,119,1652
3,110,1527
4,106,1472
5,100,1388
6,103,1430
7,112,1555
8,91,1263
9,109,1513
10,100,1388
11,114,1583
12,144,2000
13,117,1625
14,115,1597
15,101,1402
16,80,1111
17,102,1416
18,97,1347
19,109,1513
20,113,1569
21,136,1888
22,96,1333
23,121,1680
24,125,1736
25,113,1569
26,103,1430
27,99,1375
28,128,1777
29,95,1319
30,111,1541
31,132,1833
32,113,1569
33,102,1416
34,88,1222
35,120,1666
36,102,1416
37,112,1555
38,138,1916
39,93,1291
40,83,1152
41,123,1708
42,100,1388
43,79,1097
44,110,1527
45,88,1222
46,119,1652
47,108,1500
48,96,1333
49,123,1708
50,119,1652
51,115,1597
52,80,1111
53,84,1166
54,135,1875
55,123,1708
56,97,1347
57,111,1541
58,125,1736
59,117,1625
60,124,1722
61,100,1388
62,118,1638
63,101,1402
64,132,1833
65,100,1388
66,131,1819
67,112,1555
68,143,1986
69,97,1347
70,124,1722
71,106,1472
72,97,1347
73,85,1180
74,89,1236
75,113,1569
76,129,1791
77,101,1402
78,93,1291
79,115,1597
80,111,1541
81,111,1541
82,97,1347
83,84,1166
84,125,1736
85,108,1500
86,126,1750
87,103,1430
88,119,1652
89,139,1930
90,94,1305
91,123,1708
92,124,1722
93,74,1027
94,85,1180
95,98,1361
96,108,1500
97,122,1694
98,130,1805
99,92,1277
100,192,2666
101,118,1638
102,119,1652
103,101,1402
104,120,1666
105,85,1180
106,117,1625
107,101,1402
108,122,1694
109,129,1791
110,140,1944
111,98,1361
112,111,1541
113,126,1750
114,93,1291
115,106,1472
116,152,2111
117,121,1680
118,127,1763
119,108,1500
120,103,1430
121,150,2083
122,87,1208
123,95,1319
124,113,1569
125,93,1291
126,140,1944
127,113,1569
128,94,1305
129,103,1430
130,117,1625
131,129,1791
132,119,1652
133,114,1583
134,114,1583
135,132,1833
136,80,1111
137,102,1416
138,131,1819
139,150,2083
140,115,1597
141,118,1638
142,97,1347
143,120,1666
144,85,1180
145,106,1472
146,96,1333
147,116,1611
148,115,1597
149,90,1250
150,121,1680
151,134,1861
152,106,1472
153,110,1527
154,113,1569
155,129,1791
156,120,1666
157,161,2236
158,123,1708
159,100,1388
160,116,1611
161,125,1736
162,75,1041
163,98,1361
164,97,1347
165,132,1833
166,95,1319
167,122,1694
168,101,1402
169,133,1847
170,116,1611
171,104,1444
172,111,1541
173,115,1597
174,110,1527
175,76,1055
176,120,1666
177,79,1097
178,107,1486
179,107,1486
180,108,1500
181,91,1263
182,127,1763
183,145,2013
184,122,1694
185,148,2055
186,105,1458
187,84,1166
188,86,1194
189,85,1180
190,112,1555
191,91,1263
192,114,1583
193,124,1722
194,109,1513
195,103,1430
196,83,1152
197,110,1527
198,90,1250
199,126,1750
200,83,1152
201,111,1541
202,91,1263
203,116,1611
204,113,1569
205,107,1486
206,105,1458
207,64,888
208,133,1847
209,118,1638
210,94,1305
211,137,1902
212,104,1444
213,99,1375
214,90,1250
215,73,1013
216,160,2222
217,124,1722
218,129,1791
219,100,1388
220,121,1680
221,110,1527
222,112,1555
223,130,1805
224,131,1819
225,97,1347
226,104,1444
227,101,1402
228,134,1861
229,118,1638
230,112,1555
231,110,1527
232,93,1291
233,118,1638
234,110,1527
235,133,1847
236,107,1486
237,114,1583
238,104,1444
239,112,1555
240,95,1319
241,117,1625
242,85,1180
243,113,1569
244,97,1347
245,98,1361
246,89,1236
247,96,1333
248,101,1402
249,90,1250
250,118,1638
251,102,1416
252,104,1444
253,98,1361
254,76,1055
255,92,1277
256,121,1680
257,116,1611
258,80,1111
259,125,1736
260,140,1944
261,113,1569
262,120,1666
263,165,2291
264,131,1819
265,104,1444
266,98,1361
267,108,1500
268,113,1569
269,111,1541
270,123,1708
271,112,1555
272,132,1833
273,113,1569
274,114,1583
275,113,1569
276,123,1708
277,124,1722
278,115,1597
279,121,1680
280,107,1486
281,122,1694
282,90,1250
283,117,1625
284,109,1513
285,124,1722
286,80,1111
287,106,1472
288,85,1180
289,76,1055
290,98,1361
291,126,1750
292,72,1000
293,88,1222
294,113,1569
295,114,1583
296,121,1680
297,94,1305
298,117,1625
299,111,1541
300,141,1958
301,121,1680
302,86,1194
303,115,1597
304,86,1194
305,120,1666
306,123,1708
307,98,1361
308,98,1361
309,135,1875
310,126,1750
311,79,1097
312,81,1125
313,101,1402
314,109,1513
315,91,1263
316,120,1666
317,138,1916
318,109,1513
319,122,1694
320,102,1416
321,128,1777
322,109,1513
323,94,1305
324,103,1430
325,115,1597
326,115,1597
327,106,1472
328,118,1638
329,121,1680
330,128,1777
331,114,1583
332,121,1680
333,129,1791
334,117,1625
335,117,1625
336,128,1777
337,138,1916
338,94,1305
339,122,1694
340,114,1583
341,126,1750
342,119,1652
343,100,1388
344,94,1305
345,114,1583
346,90,1250
347,126,1750
348,116,1611
349,120,1666
350,136,1888
351,116,1611
352,128,1777
353,92,1277
354,91,1263
355,114,1583
356,125,1736
357,124,1722
358,113,1569
359,132,1833
360,102,1416
361,130,1805
362,127,1763
363,143,1986
364,111,1541
365,120,1666
366,125,1736
367,90,1250
368,112,1555
369,115,1597
370,114,1583
371,99,1375
372,104,1444
373,108,1500
374,106,1472
375,91,1263
376,100,1388
377,117,1625
378,115,1597
379,117,1625
380,104,1444
381,88,1222
382,116,1611
383,90,1250
384,156,2166
385,93,1291
386,105,1458
387,111,1541
388,175,2430
389,115,1597
390,130,1805
391,152,2111
392,130,1805
393,93,1291
394,92,1277
395,98,1361
396,99,1375
