cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
1,1,56,56,56,56,
2,1,54,54,54,54,
3,1,63,63,63,63,
4,1,45,45,45,45,
5,1,50,50,50,50,
6,1,61,61,61,61,
7,1,56,56,56,56,
8,1,65,65,65,65,
9,1,52,52,52,52,
10,1,49,49,49,49,
11,1,58,58,58,58,
12,1,55,55,55,55,
13,1,51,51,51,51,
14,1,60,60,60,60,
15,1,48,48,48,48,
16,1,56,56,56,56,
17,1,64,64,64,64,
18,1,65,65,65,65,
19,1,57,57,57,57,
20,1,55,55,55,55,
21,1,57,57,57,57,
22,1,65,65,65,65,
23,1,50,50,50,50,
24,1,50,50,50,50,
25,1,52,52,52,52,
26,1,52,52,52,52,
27,1,66,66,66,66,
28,1,71,71,71,71,
29,1,72,72,72,72,
30,1,42,42,42,42,
31,1,56,56,56,56,
32,1,61,61,61,61,
33,1,55,55,55,55,
34,1,63,63,63,63,
35,1,60,60,60,60,
36,1,55,55,55,55,
37,1,55,55,55,55,
38,1,43,43,43,43,
39,1,66,66,66,66,
40,1,44,44,44,44,
41,1,66,66,66,66,
42,1,76,76,76,76,
43,1,54,54,54,54,
44,1,48,48,48,48,
45,1,54,54,54,54,
46,1,47,47,47,47,
47,1,55,55,55,55,
48,1,46,46,46,46,
49,1,52,52,52,52,
50,1,44,44,44,44,
51,1,50,50,50,50,
52,1,54,54,54,54,
53,1,41,41,41,41,
54,1,55,55,55,55,
55,1,67,67,67,67,
56,1,59,59,59,59,
57,1,55,55,55,55,
58,1,44,44,44,44,
59,1,43,43,43,43,
60,1,72,72,72,72,
61,1,47,47,47,47,
62,1,57,57,57,57,
63,1,60,60,60,60,
64,1,50,50,50,50,
65,1,60,60,60,60,
66,1,43,43,43,43,
67,1,53,53,53,53,
68,1,60,60,60,60,
69,1,49,49,49,49,
70,1,64,64,64,64,
71,1,48,48,48,48,
72,1,56,56,56,56,
73,1,55,55,55,55,
74,1,69,69,69,69,
75,1,51,51,51,51,
76,1,55,55,55,55,
77,1,48,48,48,48,
78,1,42,42,42,42,
79,1,47,47,47,47,
80,1,52,52,52,52,
81,1,63,63,63,63,
82,1,56,56,56,56,
83,1,45,45,45,45,
84,1,66,66,66,66,
85,1,59,59,59,59,
86,1,53,53,53,53,
87,1,57,57,57,57,
88,1,55,55,55,55,
89,1,44,44,44,44,
90,1,51,51,51,51,
91,1,59,59,59,59,
92,1,54,54,54,54,
93,1,61,61,61,61,
94,1,48,48,48,48,
95,1,61,61,61,61,
96,1,58,58,58,58,
97,1,55,55,55,55,
98,1,58,58,58,58,
99,1,50,50,50,50,
100,1,55,55,55,55,
101,1,64,64,64,64,
102,1,59,59,59,59,
103,1,56,56,56,56,
104,1,54,54,54,54,
105,1,58,58,58,58,
106,1,59,59,59,59,
107,1,54,54,54,54,
108,1,53,53,53,53,
109,1,51,51,51,51,
110,1,60,60,60,60,
111,1,50,50,50,50,
112,1,61,61,61,61,
113,1,49,49,49,49,
114,1,55,55,55,55,
115,1,55,55,55,55,
116,1,51,51,51,51,
117,1,56,56,56,56,
118,1,43,43,43,43,
119,1,62,62,62,62,
120,1,59,59,59,59,
121,1,56,56,56,56,
122,1,46,46,46,46,
123,1,62,62,62,62,
124,1,51,51,51,51,
125,1,52,52,52,52,
126,1,58,58,58,58,
127,1,65,65,65,65,
128,1,68,68,68,68,
129,1,61,61,61,61,
130,1,57,57,57,57,
131,1,57,57,57,57,
132,1,53,53,53,53,
133,1,57,57,57,57,
134,1,46,46,46,46,
135,1,57,57,57,57,
136,1,56,56,56,56,
137,1,51,51,51,51,
138,1,58,58,58,58,
139,1,65,65,65,65,
140,1,44,44,44,44,
141,1,52,52,52,52,
142,1,48,48,48,48,
143,1,63,63,63,63,
144,1,61,61,61,61,
145,1,49,49,49,49,
146,1,46,46,46,46,
147,1,59,59,59,59,
148,1,73,73,73,73,
149,1,49,49,49,49,
150,1,44,44,44,44,
151,1,57,57,57,57,
152,1,54,54,54,54,
153,1,57,57,57,57,
154,1,42,42,42,42,
155,1,61,61,61,61,
156,1,63,63,63,63,
157,1,54,54,54,54,
158,1,60,60,60,60,
159,1,54,54,54,54,
160,1,58,58,58,58,
161,1,46,46,46,46,
162,1,46,46,46,46,
163,1,58,58,58,58,
164,1,54,54,54,54,
165,1,57,57,57,57,
166,1,54,54,54,54,
167,1,62,62,62,62,
168,1,49,49,49,49,
169,1,65,65,65,65,
170,1,55,55,55,55,
171,1,53,53,53,53,
172,1,70,70,70,70,
173,1,64,64,64,64,
174,1,60,60,60,60,
175,1,45,45,45,45,
176,1,66,66,66,66,
177,1,45,45,45,45,
178,1,56,56,56,56,
179,1,54,54,54,54,
180,1,55,55,55,55,
181,1,52,52,52,52,
182,1,48,48,48,48,
183,1,56,55,55,55,
184,1,55,55,55,55,
185,1,65,65,65,65,
186,1,55,55,55,55,
187,1,59,59,59,59,
188,1,57,57,57,57,
189,1,57,57,57,57,
190,1,50,50,50,50,
191,1,42,42,42,42,
192,1,56,56,56,56,
193,1,57,57,57,57,
194,1,54,54,54,54,
195,1,59,59,59,59,
196,1,56,56,56,56,
197,1,43,43,43,43,
198,1,50,50,50,50,
199,1,51,51,51,51,
200,1,46,46,46,46,
201,1,59,59,59,59,
202,1,59,59,59,59,
203,1,48,48,48,48,
204,1,49,49,49,49,
205,1,65,65,65,65,
206,1,60,60,60,60,
207,1,58,58,58,58,
208,1,54,54,54,54,
209,1,56,56,56,56,
210,1,53,53,53,53,
211,1,57,57,57,57,
212,1,41,41,41,41,
213,1,57,57,57,57,
214,1,55,55,55,55,
215,1,58,58,58,58,
216,1,53,53,53,53,
217,1,51,51,51,51,
218,1,41,41,41,41,
219,1,45,45,45,45,
220,1,51,51,51,51,
221,1,60,60,60,60,
222,1,49,49,49,49,
223,1,50,50,50,50,
224,1,60,60,60,60,
225,1,39,39,39,39,
226,1,67,67,67,67,
227,1,42,42,42,42,
228,1,50,50,50,50,
229,1,35,35,35,35,
230,1,49,49,49,49,
231,1,57,57,57,57,
232,1,61,61,61,61,
233,1,49,49,49,49,
234,1,66,66,66,66,
235,1,45,45,45,45,
236,1,59,59,59,59,
237,1,48,48,48,48,
238,1,56,56,56,56,
239,1,54,54,54,54,
240,1,52,52,52,52,
241,1,44,44,44,44,
242,1,50,50,50,50,
243,1,47,47,47,47,
244,1,53,53,53,53,
245,1,53,53,53,53,
246,1,54,54,54,54,
247,1,58,58,58,58,
248,1,54,54,54,54,
249,1,56,56,56,56,
250,1,51,51,51,51,
251,1,44,44,44,44,
252,1,50,50,50,50,
253,1,51,51,51,51,
254,1,38,38,38,38,
255,1,55,55,55,55,
256,1,41,41,41,41,
257,1,45,45,45,45,
258,1,54,54,54,54,
259,1,53,53,53,53,
260,1,54,54,54,54,
261,1,60,60,60,60,
262,1,63,63,63,63,
263,1,52,52,52,52,
264,1,42,42,42,42,
265,1,62,62,62,62,
266,1,50,50,50,50,
267,1,54,54,54,54,
268,1,68,68,68,68,
269,1,47,47,47,47,
270,1,50,50,50,50,
271,1,60,60,60,60,
272,1,64,64,64,64,
273,1,40,40,40,40,
274,1,58,58,58,58,
275,1,47,47,47,47,
276,1,55,55,55,55,
277,1,60,60,60,60,
278,1,54,54,54,54,
279,1,53,53,53,53,
280,1,55,55,55,55,
281,1,56,56,56,56,
282,1,56,56,56,56,
283,1,48,48,48,48,
284,1,41,41,41,41,
285,1,54,54,54,54,
286,1,52,52,52,52,
287,1,50,50,50,50,
288,1,52,52,52,52,
289,1,54,54,54,54,
